Date,Open,High,Low,Close,Volume
2015-01-01 05:30:00+05:30,275.75,277.4,273.55,276.3,1042050
2015-01-02 05:30:00+05:30,276.3,277.9,273.5,275.1,1471143
2015-01-05 05:30:00+05:30,275.9,280.75,274.55,277.8,2167401
2015-01-06 05:30:00+05:30,277.4,277.4,260.3,262.65,2786525
2015-01-07 05:30:00+05:30,263.0,268.45,256.1,266.25,2122221
2015-01-08 05:30:00+05:30,267.3,274.5,267.3,273.8,1570782
2015-01-09 05:30:00+05:30,275.7,275.7,269.2,273.1,1733358
2015-01-12 05:30:00+05:30,274.9,274.9,268.1,270.85,1060034
2015-01-13 05:30:00+05:30,271.0,273.3,268.5,270.35,1623957
2015-01-14 05:30:00+05:30,269.0,270.9,258.95,263.65,2123170
2015-01-15 05:30:00+05:30,265.0,268.8,263.1,266.25,2913614
2015-01-16 05:30:00+05:30,266.0,274.15,265.0,271.65,1758970
2015-01-19 05:30:00+05:30,273.1,277.9,269.45,271.6,1211700
2015-01-20 05:30:00+05:30,272.3,274.3,270.0,271.3,769630
2015-01-21 05:30:00+05:30,272.2,273.6,268.25,272.1,1133422
2015-01-22 05:30:00+05:30,273.0,281.5,272.0,280.2,2371577
2015-01-23 05:30:00+05:30,284.0,284.9,275.0,280.2,2536747
2015-01-27 05:30:00+05:30,281.5,283.0,273.0,276.3,1147451
2015-01-28 05:30:00+05:30,277.0,278.9,264.0,268.45,2231856
2015-01-29 05:30:00+05:30,264.0,266.8,259.25,263.1,4001604
2015-01-30 05:30:00+05:30,265.0,265.5,257.35,258.45,1672149
2015-02-02 05:30:00+05:30,258.5,259.4,249.5,250.25,3067615
2015-02-03 05:30:00+05:30,251.2,251.6,242.2,247.65,4337167
2015-02-04 05:30:00+05:30,248.9,254.4,243.0,250.65,3557301
2015-02-05 05:30:00+05:30,251.9,255.9,246.2,249.0,2565696
2015-02-06 05:30:00+05:30,249.4,250.7,243.0,244.4,2025770
2015-02-09 05:30:00+05:30,244.4,251.9,240.05,246.85,1814927
2015-02-10 05:30:00+05:30,246.4,252.8,244.5,249.85,1711428
2015-02-11 05:30:00+05:30,251.1,261.65,250.7,260.5,1697080
2015-02-12 05:30:00+05:30,261.9,266.35,258.0,261.85,3366830
2015-02-13 05:30:00+05:30,263.0,271.0,263.0,269.7,1477640
2015-02-16 05:30:00+05:30,271.25,272.3,264.5,267.15,860832
2015-02-18 05:30:00+05:30,268.0,270.0,264.65,268.85,627863
2015-02-19 05:30:00+05:30,270.0,273.8,268.0,272.7,1138597
2015-02-20 05:30:00+05:30,273.1,276.9,269.7,271.45,1182074
2015-02-23 05:30:00+05:30,271.75,272.9,265.65,268.7,986044
2015-02-24 05:30:00+05:30,268.7,275.0,267.2,274.45,1506429
2015-02-25 05:30:00+05:30,276.6,278.65,265.55,268.2,2216601
2015-02-26 05:30:00+05:30,267.95,268.65,262.85,263.8,1549534
2015-02-27 05:30:00+05:30,265.45,274.7,265.45,273.9,1105777
2015-02-28 05:30:00+05:30,275.95,277.0,262.65,270.25,1223303
