Date,Open,High,Low,Close,Volume
2022-05-17 05:30:00+05:30,872.0,918.95,860.0,875.25,48792877
2022-05-18 05:30:00+05:30,885.55,891.0,874.1,876.35,8919761
2022-05-19 05:30:00+05:30,867.0,867.0,838.0,840.85,7372427
2022-05-20 05:30:00+05:30,848.55,856.8,825.0,826.15,7078291
2022-05-23 05:30:00+05:30,826.15,852.7,803.65,816.85,12444648
2022-05-24 05:30:00+05:30,818.0,834.7,816.85,823.1,4287864
2022-05-25 05:30:00+05:30,831.5,841.45,814.25,820.3,4013031
2022-05-26 05:30:00+05:30,820.3,824.8,801.0,811.65,2796468
2022-05-27 05:30:00+05:30,818.55,824.65,814.35,821.6,2215807
2022-05-30 05:30:00+05:30,829.9,841.4,825.3,837.75,3133717
2022-05-31 05:30:00+05:30,810.0,822.0,810.0,811.3,4373090
2022-06-01 05:30:00+05:30,811.4,817.45,808.5,810.4,1670031
2022-06-02 05:30:00+05:30,809.95,813.8,804.0,805.7,1565763
2022-06-03 05:30:00+05:30,808.65,810.75,800.0,800.25,2052785
2022-06-06 05:30:00+05:30,800.25,801.7,775.1,777.35,3033514
2022-06-07 05:30:00+05:30,772.9,772.9,751.8,753.0,3774512
2022-06-08 05:30:00+05:30,752.9,752.9,736.1,738.05,4103499
2022-06-09 05:30:00+05:30,729.9,736.0,720.1,721.7,3729113
2022-06-10 05:30:00+05:30,713.0,719.75,708.05,709.7,3464178
2022-06-13 05:30:00+05:30,690.9,690.9,667.0,668.25,7781730
2022-06-14 05:30:00+05:30,664.1,684.0,663.0,674.3,5348769
2022-06-15 05:30:00+05:30,681.0,709.7,679.1,690.15,9204318
2022-06-16 05:30:00+05:30,703.45,706.0,667.0,669.35,4049782
2022-06-17 05:30:00+05:30,669.1,669.35,651.0,654.55,4043000
2022-06-20 05:30:00+05:30,660.45,666.7,650.0,661.4,3522551
2022-06-21 05:30:00+05:30,667.0,671.4,663.0,665.2,2355354
2022-06-22 05:30:00+05:30,666.0,684.9,664.1,668.6,3472810
2022-06-23 05:30:00+05:30,670.2,674.7,658.6,665.15,1798979
2022-06-24 05:30:00+05:30,669.3,673.55,659.1,661.65,1743400
2022-06-27 05:30:00+05:30,670.0,670.0,661.7,664.8,1405766
2022-06-28 05:30:00+05:30,663.25,664.8,659.0,663.35,1004747
2022-06-29 05:30:00+05:30,660.1,696.85,657.8,678.5,4653282
2022-06-30 05:30:00+05:30,678.5,683.7,671.0,673.9,1681412
2022-07-01 05:30:00+05:30,675.0,679.95,669.0,676.65,1330472
2022-07-04 05:30:00+05:30,678.0,694.0,678.0,692.3,1832039
2022-07-05 05:30:00+05:30,698.0,712.9,697.0,702.65,3662593
2022-07-06 05:30:00+05:30,707.0,713.6,701.5,702.95,1253320
2022-07-07 05:30:00+05:30,708.0,714.7,696.0,698.05,1843219
2022-07-08 05:30:00+05:30,701.25,710.8,701.25,708.1,2152750
2022-07-11 05:30:00+05:30,707.95,721.9,704.35,718.2,1638255
2022-07-12 05:30:00+05:30,718.7,724.4,714.35,717.6,1355821
2022-07-13 05:30:00+05:30,719.9,723.9,715.45,718.85,887093
2022-07-14 05:30:00+05:30,720.1,721.25,709.0,712.3,874964
2022-07-15 05:30:00+05:30,719.45,721.25,705.05,708.5,999239
2022-07-18 05:30:00+05:30,710.0,713.65,693.0,696.5,1620545
2022-07-19 05:30:00+05:30,697.0,699.0,688.0,688.85,1592940
2022-07-20 05:30:00+05:30,694.3,696.75,686.75,687.7,1377738
2022-07-21 05:30:00+05:30,688.0,693.0,687.05,687.55,799923
2022-07-22 05:30:00+05:30,689.05,694.3,687.7,688.65,948078
2022-07-25 05:30:00+05:30,688.0,690.0,682.0,683.95,671602
2022-07-26 05:30:00+05:30,684.0,684.8,675.0,675.35,662692
2022-07-27 05:30:00+05:30,675.0,679.6,672.9,674.35,690747
2022-07-28 05:30:00+05:30,677.0,679.25,674.0,674.9,741896
2022-07-29 05:30:00+05:30,676.15,683.8,675.0,677.8,1519288
2022-08-01 05:30:00+05:30,680.0,685.6,678.4,682.9,949173
2022-08-02 05:30:00+05:30,682.4,688.95,680.2,685.5,1061968
2022-08-03 05:30:00+05:30,685.0,688.0,677.0,678.3,951585
2022-08-04 05:30:00+05:30,682.0,683.45,670.7,673.7,1036357
2022-08-05 05:30:00+05:30,675.0,694.95,674.1,687.35,3867024
2022-08-08 05:30:00+05:30,680.35,688.0,678.5,680.0,1215231
